phrase,label,relations
~_0_MG_Oe,"(~_0_MG_Oe, <Value>)",
~_0_MGOe,"(~_0_MGOe, <Value>)",
~_0_nm,"(~_0_nm, <Shape>)",
~_0_T,"(~_0_T, <Condition>|<Value>)",
~_0_wt_%,"(~_0_wt_%, <Element>)",
<_0_%,"(<_0_%, <Element>)",
<_0_°C,"(<_0_°C, <Treatment>|<Value>|<Condition>|<Fabrication>)",
<_0_at_._%,"(0_at_._%, <Element>)",
<_0_kOe,"(<_0_kOe, <Value>|<Condition>)",
<_0_MGOe,"(<_0_MGOe, <Value>)",
<_0_nm,"(<_0_nm, <Shape>)",
>_0_%,"(>_0_%, <Element>)",
>_0_at_._%,"(>_0_at_._%, <Element>)",
>_0_GPa,"(>_0_GPa, <Condition>|<Fabrication>|<Value>|<Treatment>)",
>_0_K,"(>_0_K, <Condition>|<Fabrication>|<Value>|<Treatment>)",
>_0_kA_/_m,"(>_0_kA_/_m, <Value>)",
>_0_kJ_/_m_3,"(>_0_kJ_/_m_3, <Value>)",
>_0_kOe,"(>_0_kOe, <Value>)",
>_0_MG_Oe,"(>_0_MG_Oe, <Value>)",
>_0_MGOe,"(>_0_MGOe, <Value>)",
>_0_T,"(>_0_T, <Condition>|<Value>)",
±_0_T,"(±_0_T, <Condition>|<Value>)",
0_%,"(0_%, <Element>)",
0_%_/_°C,"(0_%_/_°C, <Fabrication>|<Value>|<Treatment>)",
0_%_/_K,"(0_%_/_K, <Fabrication>|<Value>|<Treatment>)",
0_%_/_K_to_0_%_/_K,"(0_%_/_K, <Fabrication>|<Value>|<Treatment>), (0_%_/_K, <Fabrication>|<Value>|<Treatment>)",
0_%_°C,"(0_%_°C, <Fabrication>|<Value>|<Treatment>)",
0_%_°C_-_1,"(0_%_°C_-_1, <Fabrication>|<Value>|<Treatment>)",
0_%_K,"(0_%_K, <Fabrication>|<Value>|<Treatment>)",
0_%_K_-_1,"(0_%_K_-_1, <Fabrication>|<Value>|<Treatment>)",
0_%_of_O,"(0_%, <Element>), (O, <Element>)",
0_%_of_O_Zr,"(0_%, <Element>), (O_Zr, <Class>)",
0_%_of_R,"(0_%, <Element>), (R, <Element>)",
0_%_of_R_Zr,"(0_%, <Element>), (R_Zr, <Element>)",
0_%_substitution_of_Nd,"(0_%_substitution, <Element>), (Nd, <Element>)",
0_%_to_0_%,"(0_%, <Element>), (0_%, <Element>)",
0_%_ZrC,"(0_%_ZrC, <Class>)",
0_:_0_:_0_phase,"(0_:_0_:_0_phase, <Shape>)",
0_:_0_phase,"(0_:_0_phase, <Shape>)",
0_:_0_structure,"(0_:_0_structure, <Shape>)",
0_±_0_T,"(0_±_0_T, <Condition>|<Value>)",
0_×_0_-_3_Pa,"(0_×_0_-_3_Pa, <Condition>|<Fabrication>|<Value>)",
0_°_C,"(0_°_C, <Condition>|<Fabrication>|<Value>|<Treatment>)",
0_°C,"(0_°C, <Condition>|<Fabrication>|<Value>|<Treatment>)",
0_°C_0_°C,"(0_°C_0_°C, <Condition>|<Treatment>|<Fabrication>)",
0_°C_0_h,"(0_°C_0_h, <Treatment>|<Value>|<Fabrication>)",
0_°C_for_0_h,"(0_°C, <Treatment>|<Condition>|<Fabrication>), (0_h, <Treatment>|<Fabrication>)",
0_°C_to_0_°C,"(0_°C, <Treatment>|<Condition>|<Fabrication>), (0_°C, <Treatment>|<Condition>|<Fabrication>)",
0_0_%,"(0_0_%, <Element>)",
0_0_°C,"(0_0_°C, <Treatment>|<Value>|<Condition>|<Fabrication>)",
0_0_at_%_Nd,"(0_at_%_Nd, <Element>)",
0_0_at_._%,"(0_at_._%, <Element>)",
0_0_K,"(0_0_K, <Condition>|<Fabrication>|<Value>|<Treatment>)",
0_0_kA_/_m,"(0_0_kA_/_m, <Value>)",
0_0_kA_m_-_1,"(0_0_kA_m_-_1, <Value>)",
0_0_kG,"(0_0_kG, <Value>)",
0_0_kOe,"(0_0_kOe, <Value>|<Condition>)",
0_0_m,"(0_0_m, <Shape>)",
0_0_m_/_s,"(0_0_m_/_s, <Fabrication>|<Value>)",
0_0_MG_Oe,"(0_0_MG_Oe, <Value>)",
0_0_MGOe,"(0_0_MGOe, <Value>)",
0_0_mm,"(0_0_mm, <Shape>)",
0_0_nm,"(0_0_nm, <Shape>)",
0_0_T,"(0_0_T, <Condition>|<Value>)",
0_0_wt_%,"(0_0_wt_%, <Element>)",
0_0_μ,"(0_0_μ, <Value>)",
0_A_m,"(0_A_m, <Value>)",
0_A_m_2,"(0_A_m_2, <Value>)",
