phrase,label,relations
Mo_spacer_layer,"(Mo_spacer_layer, <Shape>)",
MRE_content,"(MRE_content, <Element>)",
MRE_Fe_B,"(MRE_Fe_B, <Class>)",
MRE_Fe_B_based_nanocomposite,"(MRE_Fe_B_based_nanocomposite, <Class>)",
MRE_Fe_B_Zr,"(MRE_Fe_B_Zr, <Class>)",
MRE_Fe_B_Zr_alloy,"(MRE_Fe_B_Zr_alloy, <Class>)",
multilayer_film,"(multilayer_film, <Shape>)",
multilayer_magnet,"(multilayer_magnet, <Class>)",
multilayer_Si,"(multilayer_Si, <Element>)",
multilayer_thin_film,"(multilayer_thin_film, <Shape>)",
Nb_/_Ta,"(Nb_/_Ta, <Element>)",
Nb_addition,"(Nb_addition, <Element>)",
Nb_and_Ta,"(Nb, <Element>), (Ta, <Element>)",
Nb_and_Ti,"(Nb, <Element>), (Ti, <Element>)",
Nb_and_Zn,"(Nb, <Element>), (Zn, <Element>)",
Nb_atom,"(Nb_atom, <Element>)",
Nb_content,"(Nb_content, <Element>)",
Nb_Si,"(Nb_Si, <Class>)",
Nb_Si_magnet,"(Nb_Si_magnet, <Class>)",
Nb_Si_rod_magnet,"(Nb_Si_rod_magnet, <Class>)",
Nb_substituted,"(Nb_substituted, <Element>)",
Nb_substituted_magnet,"(Nb_substituted_magnet, <Class>)",
Nb_substituted_Pr_Fe_Nb_B_magnet,"(Nb_substituted_Pr_Fe_Nb_B_magnet, <Class>)",
Nb_substitution,"(Nb_substitution, <Element>)",
Nd_(_0_nm_),"(Nd, <Element>), (0_nm, <Shape>)",
Nd_(_Ce_Y_)_Fe_Al_Cu_B,"(Nd_(_Ce_Y_)_Fe_Al_Cu_B, <Class>)",
Nd_(_Co_Fe_)_B,"(Nd_(_Co_Fe_)_B, <Class>)",
Nd_(_Co_Fe_)_B_melt_spun_ribbon,"(Nd_(_Co_Fe_)_B_melt_spun_ribbon, <Shape>)",
Nd_(_Cu_)_Fe_B,"(Nd_(_Cu_)_Fe_B, <Class>)",
Nd_(_Fe_Co_)_B,"(Nd_(_Fe_Co_)_B, <Class>)",
Nd_(_Fe_Co_)_B_alloy,"(Nd_(_Fe_Co_)_B_alloy, <Class>)",
Nd_(_FeCo_)_B,"(Nd_(_FeCo_)_B, <Class>)",
Nd_(_FeCoAl_)_B,"(Nd_(_FeCoAl_)_B, <Class>)",
Nd_/_Fe,"(Nd_/_Fe, <Element>)",
Nd_/_Pr,"(Nd_/_Pr, <Element>)",
Nd_/_Pr_rich,"(Nd_/_Pr_rich, <Element>)",
Nd_addition,"(Nd_addition, <Element>)",
Nd_Al,"(Nd_Al, <Class>)",
Nd_Al_diffusion_processed_magnet,"(Nd_Al_diffusion_processed_magnet, <Class>)",
Nd_Al_Ni_Cu,"(Nd_Al_Ni_Cu, <Class>)",
Nd_Al_Ni_Cu_alloy,"(Nd_Al_Ni_Cu_alloy, <Class>)",
Nd_and_Cu_content,"(Nd, <Element>), (Cu_content, <Element>)",
Nd_and_Dy,"(Nd, <Element>), (Dy, <Element>)",
Nd_atom,"(Nd_atom, <Element>)",
Nd_based_magnet,"(Nd_based_magnet, <Class>)",
Nd_based_Nd_Fe_B_magnet,"(Nd_based_Nd_Fe_B_magnet, <Class>)",
Nd_Ce_Fe_B,"(Nd_Ce_Fe_B, <Class>)",
Nd_Ce_Fe_B_alloy,"(Nd_Ce_Fe_B_alloy, <Class>)",
Nd_Ce_Fe_B_magnet,"(Nd_Ce_Fe_B_magnet, <Class>)",
Nd_Ce_Fe_B_melt_spun_ribbon,"(Nd_Ce_Fe_B_melt_spun_ribbon, <Shape>)",
Nd_Ce_Fe_B_permanent_magnet,"(Nd_Ce_Fe_B_permanent_magnet, <Class>)",
Nd_Ce_Fe_B_sintered_magnet,"(Nd_Ce_Fe_B_sintered_magnet, <Class>)",
Nd_Ce_Fe_Co_B_alloy,"(Nd_Ce_Fe_Co_B_alloy, <Class>)",
Nd_Ce_Fe_TM_B_based_alloy,"(Nd_Ce_Fe_TM_B_based_alloy, <Class>)",
Nd_Co,"(Nd_Co, <Class>)",
Nd_Co_(_0_nm_),"(Nd_Co, <Class>), (0_nm, <Shape>)",
Nd_Co_Al,"(Nd_Co_Al, <Class>)",
Nd_Co_alloy,"(Nd_Co_alloy, <Class>)",
Nd_Co_B,"(Nd_Co_B, <Class>)",
Nd_Co_B_alloy,"(Nd_Co_B_alloy, <Class>)",
Nd_Co_diffusion_processed_film,"(Nd_Co_diffusion_processed_film, <Shape>)",
Nd_Co_Fe_Al_B,"(Nd_Co_Fe_Al_B, <Class>)",
Nd_concentration,"(Nd_concentration, <Element>)",
Nd_content,"(Nd_content, <Element>)",
Nd_Cu,"(Nd_Cu, <Class>)",
Nd_Cu_after_HEBM,"(Nd_Cu, <Class>), (HEBM, <Fabrication>)",
Nd_Cu_alloy,"(Nd_Cu_alloy, <Class>)",
Nd_Cu_containing_film,"(Nd_Cu_containing_film, <Shape>)",
Nd_Cu_diffusion_process,"(Nd_Cu_diffusion_process, <Treatment>)",
Nd_Cu_diffusion_processed_hot_deformed_magnet,"(Nd_Cu_diffusion_processed_hot_deformed_magnet, <Treatment>)",
Nd_Cu_diffusion_processed_magnet,"(Nd_Cu_diffusion_processed_magnet, <Class>)",
Nd_Cu_diffusion_processed_sample,"(Nd_Cu_diffusion_processed_sample, <Shape>)",
Nd_Cu_eutectic_alloy,"(Nd_Cu_eutectic_alloy, <Class>)",
Nd_Cu_flake,"(Nd_Cu_flake, <Shape>)",
Nd_Cu_infiltrated_sample,"(Nd_Cu_infiltrated_sample, <Shape>)",
Nd_Cu_powder,"(Nd_Cu_powder, <Shape>)",
Nd_Cu_type_alloy,"(Nd_Cu_type_alloy, <Class>)",
Nd_diffusion_process,"(Nd_diffusion_process, <Treatment>)",
Nd_Dy_Al,"(Nd_Dy_Al, <Class>)",
Nd_Dy_Al_alloy,"(Nd_Dy_Al_alloy, <Class>)",
Nd_Dy_Al_diffusion_processed_hot_deformed_magnet,"(Nd_Dy_Al_diffusion_processed_hot_deformed_magnet, <Class>)",
Nd_Dy_Al_diffusion_processed_magnet,"(Nd_Dy_Al_diffusion_processed_magnet, <Class>)",
Nd_Dy_Al_diffusion_processed_sample,"(Nd_Dy_Al_diffusion_processed_sample, <Shape>)",
Nd_Dy_Al_grain_boundary_diffusion_process,"(Nd_Dy_Al_grain_boundary_diffusion_process, <Treatment>)",
Nd_Dy_Co_Cu_Fe_alloy,"(Nd_Dy_Co_Cu_Fe_alloy, <Class>)",
Nd_Dy_Co_Cu_Fe_alloy_powder,"(Nd_Dy_Co_Cu_Fe_alloy_powder, <Shape>)",
Nd_Dy_Co_Cu_Fe_powder,"(Nd_Dy_Co_Cu_Fe_powder, <Shape>)",
Nd_Dy_Cu,"(Nd_Dy_Cu, <Class>)",
Nd_Dy_Cu_alloy,"(Nd_Dy_Cu_alloy, <Class>)",
Nd_Dy_Fe_B,"(Nd_Dy_Fe_B, <Class>)",
Nd_Dy_Fe_B_flake,"(Nd_Dy_Fe_B_flake, <Shape>)",
Nd_Dy_Fe_B_magnet,"(Nd_Dy_Fe_B_magnet, <Class>)",
Nd_Dy_Fe_Co_B,"(Nd_Dy_Fe_Co_B, <Class>)",
Nd_Dy_Fe_Co_B_layer,"(Nd_Dy_Fe_Co_B_layer, <Shape>)",
Nd_Dy_Fe_Co_B_single_layer,"(Nd_Dy_Fe_Co_B_single_layer, <Shape>)",
Nd_Dy_Fe_Co_C_B_melt_spun_ribbon,"(Nd_Dy_Fe_Co_C_B_melt_spun_ribbon, <Shape>)",
Nd_Dy_Fe_Co_Ga_B,"(Nd_Dy_Fe_Co_Ga_B, <Class>)",
Nd_Dy_Fe_Co_Ga_B_magnet,"(Nd_Dy_Fe_Co_Ga_B_magnet, <Class>)",
Nd_Dy_Fe_Ga_B,"(Nd_Dy_Fe_Ga_B, <Class>)",
Nd_Dy_Fe_Nb_B_alloy,"(Nd_Dy_Fe_Nb_B_alloy, <Class>)",
Nd_Dy_Fe_Ti_Nb_Co_B,"(Nd_Dy_Fe_Ti_Nb_Co_B, <Class>)",
Nd_Dy_Fe_Ti_Nb_Co_B_ribbon,"(Nd_Dy_Fe_Ti_Nb_Co_B_ribbon, <Shape>)",
Nd_Dy_Fe_Zr_Nb_Co_B,"(Nd_Dy_Fe_Zr_Nb_Co_B, <Class>)",
Nd_Fe,"(Nd_Fe, <Class>)",
Nd_Fe_Al,"(Nd_Fe_Al, <Class>)",
Nd_Fe_Al_alloy,"(Nd_Fe_Al_alloy, <Class>)",
Nd_Fe_Al_B,"(Nd_Fe_Al_B, <Class>)",
Nd_Fe_Al_Co_B,"(Nd_Fe_Al_Co_B, <Class>)",
Nd_Fe_Al_Co_B_alloy,"(Nd_Fe_Al_Co_B_alloy, <Class>)",
Nd_Fe_Al_Cu_B,"(Nd_Fe_Al_Cu_B, <Class>)",
Nd_Fe_Al_ribbon,"(Nd_Fe_Al_ribbon, <Shape>)",
Nd_Fe_Al_system,"(Nd_Fe_Al_system, <Class>)",
Nd_Fe_B,"(Nd_Fe_B, <Class>)",
Nd_Fe_B_(_0_K_),"(Nd_Fe_B, <Class>), (0_K, <Condition>)",
Nd_Fe_B_(_0_nm_),"(Nd_Fe_B, <Class>), (0_nm, <Shape>)",
Nd_Fe_B_/_Dy_/_Nd_film,"(Nd_Fe_B_/_Dy_/_Nd_film, <Shape>)",
Nd_Fe_B_/_Dy_/_Nd_thin_film,"(Nd_Fe_B_/_Dy_/_Nd_thin_film, <Shape>)",
Nd_Fe_B_/_Fe_/_Nd_Fe_B,"(Nd_Fe_B_/_Fe_/_Nd_Fe_B, <Class>)",
Nd_Fe_B_/_Fe_/_Nd_Fe_B_trilayer,"(Nd_Fe_B_/_Fe_/_Nd_Fe_B_trilayer, <Shape>)",
Nd_Fe_B_/_Fe_B,"(Nd_Fe_B_/_Fe_B, <Class>)",
Nd_Fe_B_/_Fe_B_alloy,"(Nd_Fe_B_/_Fe_B_alloy, <Class>)",
Nd_Fe_B_/_Fe_B_magnet,"(Nd_Fe_B_/_Fe_B_magnet, <Class>)",
Nd_Fe_B_/_Fe_B_nanocomposite_magnet,"(Nd_Fe_B_/_Fe_B_nanocomposite_magnet, <Class>)",
Nd_Fe_B_/_Fe_B_type_nanocomposite,"(Nd_Fe_B_/_Fe_B_type_nanocomposite, <Class>)",
Nd_Fe_B_/_Fe_Co,"(Nd_Fe_B_/_Fe_Co, <Class>)",
Nd_Fe_B_/_Fe_Co_interface,"(Nd_Fe_B_/_Fe_Co_interface, <Shape>)",
Nd_Fe_B_/_Fe_Co_layer,"(Nd_Fe_B_/_Fe_Co_layer, <Shape>)",
Nd_Fe_B_/_Fe_nanocomposite,"(Nd_Fe_B_/_Fe_nanocomposite, <Class>)",
Nd_Fe_B_/_FeCo,"(Nd_Fe_B_/_FeCo, <Class>)",
Nd_Fe_B_/_FeCo_nanocomposite,"(Nd_Fe_B_/_FeCo_nanocomposite, <Class>)",
Nd_Fe_B_/_Nd_film,"(Nd_Fe_B_/_Nd_film, <Shape>)",
Nd_Fe_B_/_Sm_(_Co_Fe_Cu_Zr_),"(Nd_Fe_B_/_Sm_(_Co_Fe_Cu_Zr_), <Class>)",
Nd_Fe_B_/_Ta,"(Nd_Fe_B_/_Ta, <Class>)",
Nd_Fe_B_/_α_Fe,"(Nd_Fe_B_/_α_Fe, <Class>)",
Nd_Fe_B_/_α_Fe_magnet,"(Nd_Fe_B_/_α_Fe_magnet, <Class>)",
Nd_Fe_B_/_α_Fe_nanocomposite,"(Nd_Fe_B_/_α_Fe_nanocomposite, <Class>)",
Nd_Fe_B_/_α_Fe_nanocomposite_magnet,"(Nd_Fe_B_/_α_Fe_nanocomposite_magnet, <Class>)",
Nd_Fe_B_/_α_Fe_thick_film,"(Nd_Fe_B_/_α_Fe_thick_film, <Shape>)",
Nd_Fe_B_alloy,"(Nd_Fe_B_alloy, <Class>)",
Nd_Fe_B_and_SmCo,"(Nd_Fe_B, <Class>), (SmCo, <Class>)",
Nd_Fe_B_as_secondary_phase,"(Nd_Fe_B, <Class>), (secondary_phase, <Shape>)",
Nd_Fe_B_based,"(Nd_Fe_B_based, <Class>)",
Nd_Fe_B_based_alloy,"(Nd_Fe_B_based_alloy, <Class>)",
Nd_Fe_B_based_flake,"(Nd_Fe_B_based_flake, <Shape>)",
Nd_Fe_B_based_magnet,"(Nd_Fe_B_based_magnet, <Class>)",
Nd_Fe_B_based_nanocomposite_magnet,"(Nd_Fe_B_based_nanocomposite_magnet, <Class>)",
Nd_Fe_B_based_permanent_magnet,"(Nd_Fe_B_based_permanent_magnet, <Class>)",
Nd_Fe_B_based_sintered_magnet,"(Nd_Fe_B_based_sintered_magnet, <Class>)",
Nd_Fe_B_bonded_magnet,"(Nd_Fe_B_bonded_magnet, <Class>)",
Nd_Fe_B_bulk_magnet,"(Nd_Fe_B_bulk_magnet, <Class>)",
Nd_Fe_B_bulk_nanocomposite_magnet,"(Nd_Fe_B_bulk_nanocomposite_magnet, <Class>)",
Nd_Fe_B_C_Ti_Ga,"(Nd_Fe_B_C_Ti_Ga, <Class>)",
Nd_Fe_B_composite,"(Nd_Fe_B_composite, <Class>)",
Nd_Fe_B_composite_film,"(Nd_Fe_B_composite_film, <Shape>)",
Nd_Fe_B_compound,"(Nd_Fe_B_compound, <Class>)",
Nd_Fe_B_core,"(Nd_Fe_B_core, <Shape>)",
Nd_Fe_B_Cu_Nb_ribbon,"(Nd_Fe_B_Cu_Nb_ribbon, <Shape>)",
Nd_Fe_B_film,"(Nd_Fe_B_film, <Shape>)",
Nd_Fe_B_film_magnet,"(Nd_Fe_B_film_magnet, <Class>)",
Nd_Fe_B_flake,"(Nd_Fe_B_flake, <Shape>)",
Nd_Fe_B_Ga_Nb_powder,"(Nd_Fe_B_Ga_Nb_powder, <Shape>)",
Nd_Fe_B_grain,"(Nd_Fe_B_grain, <Shape>)",
Nd_Fe_B_Hf,"(Nd_Fe_B_Hf, <Class>)",
Nd_Fe_B_Hf_alloy,"(Nd_Fe_B_Hf_alloy, <Class>)",
Nd_Fe_B_Hf_melt_spun_ribbon,"(Nd_Fe_B_Hf_melt_spun_ribbon, <Shape>)",
Nd_Fe_B_hot_deformed_magnet,"(Nd_Fe_B_hot_deformed_magnet, <Class>)",
Nd_Fe_B_lattice,"(Nd_Fe_B_lattice, <Shape>)",
Nd_Fe_B_layer,"(Nd_Fe_B_layer, <Shape>)",
Nd_Fe_B_magnet,"(Nd_Fe_B_magnet, <Class>)",
Nd_Fe_B_magnetic_powder,"(Nd_Fe_B_magnetic_powder, <Shape>)",
Nd_Fe_B_main_phase,"(Nd_Fe_B, <Class>), (phase, <Shape>)",
Nd_Fe_B_material,"(Nd_Fe_B_material, <Class>)",
Nd_Fe_B_matrix_phase,"(Nd_Fe_B_matrix_phase, <Shape>)",
Nd_Fe_B_melt_spun_alloy,"(Nd_Fe_B_melt_spun_alloy, <Class>)",
Nd_Fe_B_melt_spun_material,"(Nd_Fe_B_melt_spun_material, <Class>)",
Nd_Fe_B_melt_spun_ribbon,"(Nd_Fe_B_melt_spun_ribbon, <Shape>)",
Nd_Fe_B_nanocomposite_magnet,"(Nd_Fe_B_nanocomposite_magnet, <Class>)",
Nd_Fe_B_nanoparticle,"(Nd_Fe_B_nanoparticle, <Shape>)",
Nd_Fe_B_Nb,"(Nd_Fe_B_Nb, <Class>)",
Nd_Fe_B_Nb_alloy,"(Nd_Fe_B_Nb_alloy, <Class>)",
Nd_Fe_B_Nb_Ga_alloy,"(Nd_Fe_B_Nb_Ga_alloy, <Class>)",
Nd_Fe_B_Nb_Ga_powder,"(Nd_Fe_B_Nb_Ga_powder, <Shape>)",
Nd_Fe_B_Nb_rod,"(Nd_Fe_B_Nb_rod, <Shape>)",
Nd_Fe_B_Nd_Fe_B,"(Nd_Fe_B_Nd_Fe_B, <Class>)",
Nd_Fe_B_O_C,"(Nd_Fe_B_O_C, <Class>)",
Nd_Fe_B_permanent_magnet,"(Nd_Fe_B_permanent_magnet, <Class>)",
Nd_Fe_B_phase,"(Nd_Fe_B_phase, <Shape>)",
Nd_Fe_B_powder,"(Nd_Fe_B_powder, <Shape>)",
Nd_Fe_B_Pr_Fe_B,"(Nd_Fe_B_Pr_Fe_B, <Class>)",
Nd_Fe_B_Pr_Fe_B_system,"(Nd_Fe_B_Pr_Fe_B_system, <Class>)",
Nd_Fe_B_ribbon,"(Nd_Fe_B_ribbon, <Shape>)",
Nd_Fe_B_sample,"(Nd_Fe_B_sample, <Shape>)",
Nd_Fe_B_Si_magnet,"(Nd_Fe_B_Si_magnet, <Class>)",
Nd_Fe_B_sintered_magnet,"(Nd_Fe_B_sintered_magnet, <Class>)",
Nd_Fe_B_system,"(Nd_Fe_B_system, <Class>)",
Nd_Fe_B_Tb_Fe_B_system,"(Nd_Fe_B_Tb_Fe_B_system, <Class>)",
Nd_Fe_B_thick_film,"(Nd_Fe_B_thick_film, <Shape>)",
Nd_Fe_B_thick_film_magnet,"(Nd_Fe_B_thick_film_magnet, <Class>)",
Nd_Fe_B_thin_film,"(Nd_Fe_B_thin_film, <Shape>)",
Nd_Fe_B_type_magnetic_powder,"(Nd_Fe_B_type_magnetic_powder, <Shape>)",
Nd_Fe_B_type_material,"(Nd_Fe_B_type_material, <Class>)",
Nd_Fe_B_type_permanent_magnet,"(Nd_Fe_B_type_permanent_magnet, <Class>)",
Nd_Fe_B_type_powder,"(Nd_Fe_B_type_powder, <Shape>)",
Nd_Fe_B_with_minor_phase,"(Nd_Fe_B, <Class>), (minor_phase, <Shape>)",
Nd_Fe_C,"(Nd_Fe_C, <Class>)",
Nd_Fe_Co_(_HfGa_)_B,"(Nd_Fe_Co_(_HfGa_)_B, <Class>)",
Nd_Fe_Co_Al,"(Nd_Fe_Co_Al, <Class>)",
Nd_Fe_Co_Al_B,"(Nd_Fe_Co_Al_B, <Class>)",
Nd_Fe_Co_Al_B_alloy,"(Nd_Fe_Co_Al_B_alloy, <Class>)",
Nd_Fe_Co_Al_B_powder,"(Nd_Fe_Co_Al_B_powder, <Shape>)",
Nd_Fe_Co_Al_Cu,"(Nd_Fe_Co_Al_Cu, <Class>)",
Nd_Fe_Co_B,"(Nd_Fe_Co_B, <Class>)",
Nd_Fe_Co_B_Ga,"(Nd_Fe_Co_B_Ga, <Class>)",
Nd_Fe_Co_B_Ga_powder,"(Nd_Fe_Co_B_Ga_powder, <Shape>)",
Nd_Fe_Co_B_M_alloy,"(Nd_Fe_Co_B_M_alloy, <Class>)",
Nd_Fe_Co_B_M_ribbon,"(Nd_Fe_Co_B_M_ribbon, <Shape>)",
Nd_Fe_Co_B_Nb_alloy,"(Nd_Fe_Co_B_Nb_alloy, <Class>)",
Nd_Fe_Co_Ga_B,"(Nd_Fe_Co_Ga_B, <Class>)",
Nd_Fe_Co_Ga_B_alloy,"(Nd_Fe_Co_Ga_B_alloy, <Class>)",
Nd_Fe_Cu_B,"(Nd_Fe_Cu_B, <Class>)",
Nd_Fe_Cu_B_magnet,"(Nd_Fe_Cu_B_magnet, <Class>)",
Nd_Fe_Dy_B_magnet,"(Nd_Fe_Dy_B_magnet, <Class>)",
Nd_Fe_Ga_B,"(Nd_Fe_Ga_B, <Class>)",
Nd_Fe_Ga_B_/_Fe_Co,"(Nd_Fe_Ga_B_/_Fe_Co, <Class>)",
Nd_Fe_Ga_B_/_Fe_Co_magnet,"(Nd_Fe_Ga_B_/_Fe_Co_magnet, <Class>)",
Nd_Fe_Ga_B_powder,"(Nd_Fe_Ga_B_powder, <Shape>)",
Nd_Fe_M_B,"(Nd_Fe_M_B, <Class>)",
Nd_Fe_M_B_alloy,"(Nd_Fe_M_B_alloy, <Class>)",
Nd_Fe_M_B_magnet,"(Nd_Fe_M_B_magnet, <Class>)",
Nd_Fe_MCB_ribbon,"(Nd_Fe_MCB_ribbon, <Shape>)",
Nd_Fe_Mn_B,"(Nd_Fe_Mn_B, <Class>)",
Nd_Fe_Nb_Al_Cu_B_powder,"(Nd_Fe_Nb_Al_Cu_B_powder, <Shape>)",
Nd_Fe_Nb_B,"(Nd_Fe_Nb_B, <Class>)",
Nd_Fe_Nb_B_alloy,"(Nd_Fe_Nb_B_alloy, <Class>)",
Nd_Fe_Nb_B_magnet,"(Nd_Fe_Nb_B_magnet, <Class>)",
Nd_Fe_Nb_B_nanocomposite,"(Nd_Fe_Nb_B_nanocomposite, <Class>)",
Nd_Fe_Si,"(Nd_Fe_Si, <Class>)",
Nd_Fe_Si_ribbon,"(Nd_Fe_Si_ribbon, <Shape>)",
Nd_Fe_system,"(Nd_Fe_system, <Class>)",
Nd_Fe_Ti_B,"(Nd_Fe_Ti_B, <Class>)",
Nd_Fe_Ti_B_alloy,"(Nd_Fe_Ti_B_alloy, <Class>)",
Nd_Fe_Ti_B_bulk_magnet,"(Nd_Fe_Ti_B_bulk_magnet, <Class>)",
Nd_Fe_Ti_B_magnet,"(Nd_Fe_Ti_B_magnet, <Class>)",
Nd_Fe_Ti_C_B_alloy,"(Nd_Fe_Ti_C_B_alloy, <Class>)",
Nd_Fe_Ti_C_B_bulk_nanocomposite_magnet,"(Nd_Fe_Ti_C_B_bulk_nanocomposite_magnet, <Class>)",
Nd_Fe_Ti_M_B,"(Nd_Fe_Ti_M_B, <Class>)",
Nd_Fe_Ti_M_B_magnet,"(Nd_Fe_Ti_M_B_magnet, <Class>)",
Nd_Fe_Ti_Zr_B,"(Nd_Fe_Ti_Zr_B, <Class>)",
Nd_Fe_Ti_Zr_B_alloy,"(Nd_Fe_Ti_Zr_B_alloy, <Class>)",
Nd_Fe_Ti_Zr_B_C_magnet,"(Nd_Fe_Ti_Zr_B_C_magnet, <Class>)",
Nd_Fe_Ti_Zr_B_magnet,"(Nd_Fe_Ti_Zr_B_magnet, <Class>)",
Nd_Fe_Ti_Zr_Cr_B_C,"(Nd_Fe_Ti_Zr_Cr_B_C, <Class>)",
Nd_Fe_Ti_Zr_Cr_B_C_alloy,"(Nd_Fe_Ti_Zr_Cr_B_C_alloy, <Class>)",
Nd_Fe_Ti_Zr_Cr_B_C_bulk_magnet,"(Nd_Fe_Ti_Zr_Cr_B_C_bulk_magnet, <Class>)",
Nd_Fe_Ti_Zr_Cr_B_C_magnet,"(Nd_Fe_Ti_Zr_Cr_B_C_magnet, <Class>)",
Nd_Fe_Zr_Al_Cu_Ga_B_powder,"(Nd_Fe_Zr_Al_Cu_Ga_B_powder, <Shape>)",
Nd_Fe_Zr_B_C_ribbon,"(Nd_Fe_Zr_B_C_ribbon, <Shape>)",
Nd_in_Nd_Fe_B,"(Nd_Fe_B, <Class>)",
Nd_lean_magnetic_powder,"(Nd_lean_magnetic_powder, <Shape>)",
Nd_loss,"(Nd_loss, <Element>)",
Nd_Nb,"(Nd_Nb, <Class>)",
Nd_Nb_Fe_B,"(Nd_Nb_Fe_B, <Class>)",
Nd_Nb_Fe_B_ribbon,"(Nd_Nb_Fe_B_ribbon, <Shape>)",
Nd_O,"(Nd_O, <Class>)",
Nd_oxide,"(Nd_oxide, <Class>)",
Nd_oxide_layer,"(Nd_oxide_layer, <Shape>)",
Nd_poor_Nd_Fe_B_powder,"(poor_Nd_Fe_B_powder, <Shape>)",
Nd_Pr_B_Cu_Al_Co_Fe,"(Nd_Pr_B_Cu_Al_Co_Fe, <Class>)",
Nd_Pr_Ce_Fe_B_melt_spun_ribbon,"(Nd_Pr_Ce_Fe_B_melt_spun_ribbon, <Shape>)",
Nd_Pr_Ce_Fe_B_ribbon,"(Nd_Pr_Ce_Fe_B_ribbon, <Shape>)",
Nd_Pr_Dy_Fe_Al_Co_Ga_B,"(Nd_Pr_Dy_Fe_Al_Co_Ga_B, <Class>)",
Nd_Pr_Dy_Fe_B_Co_Al_Cu,"(Nd_Pr_Dy_Fe_B_Co_Al_Cu, <Class>)",
Nd_Pr_Dy_Fe_Ga_Zr_Al_Co_Cu_B_C_O,"(Nd_Pr_Dy_Fe_Ga_Zr_Al_Co_Cu_B_C_O, <Class>)",
Nd_Pr_Fe_B_alloy,"(Nd_Pr_Fe_B_alloy, <Class>)",
Nd_Pr_Fe_B_Ga_Cu_sintered_magnet,"(Nd_Pr_Fe_B_Ga_Cu_sintered_magnet, <Class>)",
Nd_Pr_Fe_B_melt_spun_powder,"(Nd_Pr_Fe_B_melt_spun_powder, <Shape>)",
Nd_Pr_Fe_B_melt_spun_ribbon,"(Nd_Pr_Fe_B_melt_spun_ribbon, <Shape>)",
Nd_Pr_Fe_Co_B_Ga_Cu,"(Nd_Pr_Fe_Co_B_Ga_Cu, <Class>)",
Nd_Pr_Fe_Co_B_Nb_Al_Cu_sintered_magnet,"(Nd_Pr_Fe_Co_B_Nb_Al_Cu_sintered_magnet, <Class>)",
Nd_Pr_Fe_Co_B_ribbon,"(Nd_Pr_Fe_Co_B_ribbon, <Shape>)",
Nd_Pr_Fe_Co_Ga_Al_B,"(Nd_Pr_Fe_Co_Ga_Al_B, <Class>)",
Nd_PrFe_B_alloy,"(Nd_PrFe_B_alloy, <Class>)",
Nd_rich,"(Nd_rich, <Element>)",
Nd_rich_alloy,"(Nd_rich_alloy, <Class>)",
Nd_rich_composition,"(Nd_rich_composition, <Element>)",
Nd_rich_GB_phase,"(Nd_rich_GB_phase, <Shape>)",
Nd_rich_grain_boundary,"(Nd_rich_grain_boundary, <Shape>)",
Nd_rich_grain_boundary_phase,"(Nd_rich_grain_boundary_phase, <Shape>)",
Nd_rich_magnetic_powder,"(Nd_rich_magnetic_powder, <Shape>)",
Nd_rich_main_phase,"(Nd_rich_main_phase, <Shape>)",
Nd_rich_Nd_Fe_B_powder,"(Nd_rich_Nd_Fe_B_powder, <Shape>)",
Nd_rich_phase,"(Nd_rich_phase, <Shape>)",
Nd_rich_phase_at_grain_boundary,"(Nd_rich_phase, <Shape>), (grain_boundary, <Shape>)",
Nd_rich_phase_on_Nd_Fe_B_grain,"(Nd_rich_phase, <Shape>), (Nd_Fe_B_grain, <Shape>)",
Nd_rich_powder,"(Nd_rich_powder, <Shape>)",
Nd_site,"(Nd_site, <Shape>)",
Nd_substituted,"(Nd_substituted, <Element>)",
Nd_substituted_alloy,"(Nd_substituted_alloy, <Class>)",
Nd_substituted_La_Fe_B,"(Nd_substituted_La_Fe_B, <Class>)",
Nd_substitution,"(Nd_substitution, <Element>)",
Nd_Y_Fe_Zr_B_bulk_magnet,"(Nd_Y_Fe_Zr_B_bulk_magnet, <Class>)",
Nd_Zr_Fe_Co_B,"(Nd_Zr_Fe_Co_B, <Class>)",
Nd_Zr_Fe_Co_B_alloy,"(Nd_Zr_Fe_Co_B_alloy, <Class>)",
NdCu_/_Nd,"(NdCu_/_Nd, <Class>)",
NdFe_B,"(NdFe_B, <Class>)",
NdFeB_(_0_nm_),"(NdFeB, <Class>), (0_nm, <Shape>)",
NdFeB_/_Co,"(NdFeB_/_Co, <Class>)",
NdFeB_/_Fe_Co_composite,"(NdFeB_/_Fe_Co_composite, <Class>)",
NdFeB_/_Fe_composite,"(NdFeB_/_Fe_composite, <Class>)",
NdFeB_layer,"(NdFeB_layer, <Shape>)",
NdFeB_magnet,"(NdFeB_magnet, <Class>)",
NdFeB_powder,"(NdFeB_powder, <Shape>)",
NdFeB_ribbon,"(NdFeB_ribbon, <Shape>)",
nearly_0_°C,"(nearly_0_°C, <Treatment>|<Value>|<Condition>|<Fabrication>)",
O_=_0_wt_%,"(O, <Element>), (0_wt_%, <Element>)","(0, 1)"
O_Zr_Co,"(O_Zr_Co, <Class>)",
only_0_T,"(only_0_T, <Condition>|<Value>)",
operating_temperature,"(operating_temperature, <Condition>)",
operation_temperature,"(operation_temperature, <Condition>)",
over_0_kOe,"(over_0_kOe, <Value>|<Condition>)",
over_0_T,"(over_0_T, <Condition>|<Value>)",
